<<<<<<< HEAD
disease_label,crop,condition,symptoms,management,prescription,source
Apple___Apple_scab,Apple,Disease,Olive to brown leaf lesions; severe infection can cause leaf drop and fruit lesions.,"Remove infected fallen leaves and fruit, improve airflow, avoid prolonged leaf wetness, and use resistant cultivars where available.",Use a locally registered fungicide only when appropriate and strictly according to the product label and local agricultural guidance.,University/extension disease-management guidance; verify locally before chemical use.
Apple___Black_rot,Apple,Disease,Dark leaf spots and fruit rot; infected plant tissue can develop blackened areas.,"Remove mummified fruit and dead/infected wood, improve sanitation and airflow, and monitor regularly.",Use only a locally registered product for apple black rot and follow its label; do not apply an automatic pesticide dose from this app.,General integrated disease-management guidance; verify locally.
Apple___Cedar_apple_rust,Apple,Disease,Yellow-orange leaf spots that can develop into more pronounced rust symptoms.,"Use resistant cultivars where available, remove nearby alternate hosts where practical, and maintain good orchard sanitation.","If chemical control is required, use a locally registered rust fungicide according to its label and local advisory.",General integrated disease-management guidance; verify locally.
Apple___healthy,Apple,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Blueberry___healthy,Blueberry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Disease,Disease-specific information has not yet been verified in this starter database.,Do not rely on an automatic treatment. Confirm the diagnosis with a local agricultural expert.,NO AUTOMATIC PRESCRIPTION. Verify the disease and use only locally registered products according to their labels.,Starter database placeholder; requires local verification.
Cherry_(including_sour)___healthy,Cherry,Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn (maize),Disease,Gray to tan rectangular/elongated leaf lesions that can expand and cause leaf blighting.,"Use resistant hybrids, rotate crops where practical, manage infected residue, and scout regularly.","Fungicide decisions should be based on crop stage, disease pressure, hybrid susceptibility and local registration; follow the product label.",Integrated corn disease management; verify local product registration.
Corn_(maize)___Common_rust_,Corn (maize),Disease,Rust-colored to dark brown elongated pustules on leaf surfaces.,"Use resistant hybrids and scout during cool, wet conditions; fungicides can be useful when disease pressure is high and treatment is justified.","If fungicide treatment is justified, use a locally registered product and follow its label. Resistant hybrids are a key management option.",UMN Extension common rust guidance.
Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Disease,Long canoe-shaped gray-green to tan lesions that may enlarge and cause leaf blighting.,"Use resistant hybrids; crop rotation and residue/tillage management may help; scout during cool, moist conditions.",Fungicides may be warranted in susceptible/high-value situations. Use only a locally registered product and follow the label.,UMN Extension northern corn leaf blight guidance.
Corn_(maize)___healthy,Corn (maize),Healthy,No disease prescription is indicated for a healthy classification.,"Continue normal crop monitoring, nutrition, irrigation and preventive field sanitation.",NO PESTICIDE PRESCRIPTION. The model class is healthy.,Model class is a healthy class.
Grape___Black_rot,Grape,Disease,Brown leaf lesions and dark fruit rot/mummification can occur.,"Remove mummified fruit and infected tissue, improve canopy airflow, and maintain field sanitation.",Use a locally registered grape black-rot fungicide only when needed and strictly according to the label.,General integrated disease-management guidance; verify locally.
Grape___Esca_(Black_Measles),Grape,Disease,Leaf symptoms can include interveinal discoloration and chronic decline; symptoms vary by disease stage.,Remove or manage severely affected vines according to local viticulture guidance and maintain clean pruning practices.,Do not automatically prescribe a pesticide. Obtain local diagnosis because trunk diseases require crop- and region-specific management.,Diagnosis-dependent management; verify locally.
